from,to,weight
0,14,10
0,16,5
0,10,5
0,22,10
0,5,10
0,12,10
0,23,10
0,15,5
0,13,10
0,9,5
1,10,10
1,12,5
1,17,10
2,8,10
2,4,5
3,4,10
16,4,10
31,5,10
26,5,10
27,5,10
25,5,10
5,2,5
21,5,10
24,5,10
5,12,5
22,5,10
5,15,5
20,5,10
14,5,10
23,5,10
16,5,10
13,5,10
17,5,10
5,3,5
5,4,5
5,9,10
6,15,5
6,9,5
6,13,5
23,6,10
6,22,5
6,8,10
6,3,5
6,19,5
6,4,5
6,7,5
6,2,5
19,7,10
7,3,5
7,4,5
7,8,5
8,4,5
19,8,10
8,3,5
27,9,10
20,9,10
23,9,10
31,9,10
14,9,10
21,9,10
17,9,10
9,3,5
13,9,10
9,4,5
10,12,5
11,19,5
11,7,5
13,27,10
13,31,10
13,18,10
13,20,10
13,14,10
13,15,5
13,24,10
13,23,10
13,17,10
13,16,10
13,4,5
13,3,5
14,31,10
14,22,10
14,21,10
14,25,10
14,27,10
14,15,5
14,3,5
14,4,5
14,16,10
14,23,10
14,17,10
14,20,10
16,31,10
16,20,10
16,27,10
16,22,10
16,15,5
16,23,10
16,17,10
16,9,5
17,31,10
17,26,10
17,21,10
17,0,5
17,25,10
17,24,10
17,27,10
17,15,5
17,23,10
17,22,10
17,20,10
17,4,5
17,2,5
18,23,10
18,24,5
18,12,5
18,15,5
18,5,5
18,16,5
18,9,5
19,29,10
19,28,5
20,24,10
20,31,10
20,21,10
20,27,5
20,22,10
20,23,10
20,15,5
20,4,5
21,27,10
21,13,5
21,24,10
21,4,5
21,22,10
21,16,5
21,23,10
21,15,5
22,24,10
22,12,5
22,3,5
22,4,5
22,13,5
22,15,5
22,9,5
22,23,10
23,30,10
23,31,10
23,29,5
23,26,10
23,25,10
23,27,10
23,19,5
23,10,5
23,24,10
23,12,5
23,1,5
23,3,5
23,4,5
23,15,5
24,14,5
24,9,5
24,0,5
24,15,5
24,16,5
24,3,5
24,1,5
24,12,5
24,4,5
25,19,5
25,22,5
25,31,10
25,28,5
25,29,10
25,27,5
25,0,5
25,4,5
25,20,5
25,16,5
25,13,5
25,9,5
25,15,5
26,13,5
26,9,5
26,27,10
26,20,5
26,0,5
26,24,5
26,21,5
27,31,10
27,10,5
27,12,5
27,22,5
27,15,5
27,4,5
28,29,5
30,14,5
30,17,5
30,27,5
30,20,5
30,31,5
30,5,5
30,16,5
30,9,5
30,15,5
30,29,5
30,13,5
30,19,5
30,8,5
30,7,5
31,28,5
31,29,5
31,4,5
31,22,5
31,15,5
31,21,5
31,26,5
10,24,1
10,31,1
24,31,1
10,2,1
10,6,1
5,6,1
10,5,1
17,6,1
10,17,1
10,4,1
2,7,1
2,24,1
17,7,1
24,7,1
17,8,1
24,8,1
0,30,1
12,17,1
1,6,1
2,21,1
2,23,1
21,6,1
24,6,1
23,8,1
16,2,1
1,2,1
0,2,1
0,4,1
0,6,1
0,31,1
14,2,1
2,26,1
2,31,1
26,4,1
14,6,1
16,6,1
26,6,1
31,6,1
14,26,1
16,26,1
0,1,1
0,8,1
1,8,1
10,18,1
1,21,1
0,7,1
1,7,1
1,30,1
10,7,1
10,8,1
10,30,1
30,4,1
22,7,1
23,7,1
22,30,1
0,18,1
0,21,1
18,2,1
18,6,1
10,21,1
18,21,1
13,2,1
2,22,1
22,26,1
21,7,1
21,8,1
12,25,1
12,30,1
25,30,1
12,2,1
0,20,1
2,20,1
2,25,1
18,4,1
20,6,1
25,6,1
14,18,1
17,18,1
18,20,1
18,22,1
18,25,1
18,26,1
18,31,1
24,25,1
25,26,1
2,9,1
5,7,1
5,8,1
7,9,1
13,7,1
14,7,1
16,7,1
18,7,1
20,7,1
25,7,1
31,7,1
8,9,1
13,8,1
14,8,1
16,8,1
18,8,1
20,8,1
25,8,1
31,8,1
26,7,1
21,25,1
1,4,1
1,13,1
10,13,1
10,20,1
1,18,1
21,30,1
1,26,1
1,5,1
18,30,1
24,30,1
0,27,1
27,6,1
18,27,1
24,27,1
22,8,1
10,26,1
2,30,1
30,6,1
12,7,1
27,7,1
1,20,1
1,22,1
18,3,1
10,14,1
10,16,1
10,25,1
1,25,1
10,22,1
0,3,1
16,3,1
26,3,1
19,2,1
2,27,1
17,3,1
21,3,1
25,3,1
12,14,1
3,30,1
11,8,1
1,14,1
26,8,1
12,13,1
1,27,1
12,21,1
2,3,1
12,6,1
2,29,1
29,5,1
29,6,1
29,8,1
16,29,1
20,29,1
24,29,1
26,29,1
12,20,1
12,26,1
12,4,1
12,8,1
1,31,1
26,30,1
1,16,1
20,3,1
27,3,1
3,31,1
27,8,1
12,16,1
11,23,1
11,30,1
10,9,1
1,9,1
0,11,1
0,19,1
11,4,1
19,4,1
11,6,1
11,13,1
11,16,1
11,21,1
13,19,1
16,19,1
19,21,1
29,7,1
12,29,1
17,29,1
22,29,1
12,9,1
11,3,1
11,24,1
11,2,1
11,5,1
11,9,1
11,17,1
15,9,1
12,15,1
12,31,1
19,26,1
0,29,1
13,29,1
21,29,1
17,19,1
17,28,1
18,19,1
18,28,1
18,29,1
19,31,1
28,30,1
29,9,1
27,29,1
19,5,1
28,5,1
28,6,1
13,28,1
19,27,1
23,28,1
27,28,1
